Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-06-19,6600,6950,6550,6700,5197.842285,53560000,5285.764486,5452.302246
2000-06-20,6940,7180,6830,7140,5539.190918,59790000,5321.968424,5464.714746
2000-06-21,7300,7380,7070,7080,5492.643066,37585000,5409.89209,5377.825488
2000-06-22,7240,7270,6960,7040,5461.611816,33635000,5497.815267,5384.032031
2000-06-23,6980,7010,6860,7000,5430.579102,29215000,5461.611328,5424.373437
2000-06-26,7100,7360,6990,7210,5593.49707,39980000,5495.229329,5503.504394
2000-06-27,7320,7440,7190,7310,5671.075195,45535000,5565.050456,5529.88125
2000-06-28,7220,7540,7220,7520,5833.994141,47295000,5699.522135,5598.151465
2000-06-29,7600,7740,7380,7490,5810.720215,61120000,5771.92985,5667.973145
2000-06-30,7440,7540,7290,7380,5725.383301,35250000,5790.032552,5726.933984
2000-07-03,7440,7550,7420,7500,5818.478027,25975000,5784.860514,5771.930176
2000-07-04,7600,7620,7350,7350,5702.108398,32810000,5748.656575,5778.136816
2000-07-05,7390,7520,7350,7430,5764.171875,24895000,5761.5861,5764.172363
2000-07-06,7240,7350,7180,7300,5663.318848,60340000,5709.866374,5734.69209
2000-07-07,7340,7460,7230,7360,5709.867188,40580000,5712.452637,5731.588867
2000-07-10,7440,7630,7410,7600,5896.058105,42505000,5756.414714,5747.104883
2000-07-11,7580,7740,7450,7450,5779.689453,34945000,5795.204915,5762.621094
2000-07-12,7520,7660,7460,7640,5927.089355,40140000,5867.612304,5795.20459
2000-07-13,7700,7880,7570,7760,6020.185059,48805000,5908.987956,5866.577832
2000-07-14,7780,7840,7540,7550,5857.269043,30425000,5934.847819,5896.058203
2000-07-17,7550,7550,7550,7550,5857.269043,0,5911.574382,5888.300391
2000-07-18,7550,7620,7440,7460,5787.445801,19605000,5833.994629,5889.85166
2000-07-19,7550,7620,7440,7460,5787.445801,19605000,5810.720215,5861.922949
2000-07-20,7060,7110,6840,6900,5352.999023,40315000,5642.630208,5728.485742
2000-07-21,6960,7050,6760,6920,5368.51709,48395000,5502.987305,5630.735352
2000-07-24,6640,6740,6360,6380,4949.585449,49015000,5223.700521,5449.198633
2000-07-25,6310,6400,6120,6280,4872.006348,56735000,5063.369629,5266.110742
2000-07-26,6400,6580,6360,6550,5081.470703,54745000,4967.6875,5124.915723
2000-07-27,6220,6360,6100,6230,4833.215332,43540000,4928.897461,5020.958984
2000-07-28,5800,5910,5710,5730,4445.318359,83035000,4786.668131,4836.319238
2000-07-31,5730,5910,5550,5900,4577.202637,46615000,4618.578776,4761.842676
2000-08-01,5960,6270,5870,6220,4825.458496,53120000,4615.993164,4752.533105
2000-08-02,6100,6170,5930,6070,4709.086914,37190000,4703.916016,4678.056348
2000-08-03,6180,6180,5970,6030,4678.057129,27815000,4737.53418,4647.024707
2000-08-04,5930,6010,5850,5920,4592.718262,23605000,4659.954102,4676.504688
2000-08-07,5740,5770,5580,5580,4328.947754,28765000,4533.241048,4626.853711
2000-08-08,5660,5750,5570,5580,4328.947754,33475000,4416.871257,4527.551563
2000-08-09,5680,6040,5680,6000,4654.78125,39570000,4437.558919,4516.69043
2000-08-10,6000,6160,5860,6160,4778.910645,40830000,4587.54655,4536.861133
2000-08-11,6000,6070,5880,5960,4623.750977,33840000,4685.814291,4543.067676
2000-08-14,6060,6160,6000,6020,4670.298828,23730000,4690.986817,4611.337891
2000-08-15,6020,6020,6020,6020,4670.298828,0,4654.782878,4679.608106
2000-08-16,6500,6530,6330,6420,4980.618652,51915000,4773.738769,4744.775586
2000-08-17,6480,6560,6340,6440,4996.133789,36345000,4882.350423,4788.220215
2000-08-18,6500,6520,6200,6200,4809.941895,21370000,4928.898112,4825.458398
2000-08-21,6200,6340,6190,6270,4864.24707,20950000,4890.107585,4864.248047
2000-08-22,6260,6470,6240,6460,5011.648438,27710000,4895.279134,4932.517969
2000-08-23,6450,6450,6160,6190,4802.18457,27905000,4892.693359,4896.831152
2000-08-24,6260,6300,6100,6220,4825.458496,31700000,4879.763835,4862.696094
2000-08-25,6180,6400,6110,6400,4965.101563,21960000,4864.24821,4893.728027
2000-08-28,6340,6380,6260,6330,4910.795898,17630000,4900.451986,4903.037793
2000-08-29,6320,6380,6160,6220,4825.458496,16765000,4900.451986,4865.799805
2000-08-30,6140,6190,6020,6030,4678.057129,23735000,4804.770508,4840.974316
2000-08-31,5900,5900,5380,5470,4243.609375,114120000,4582.375,4724.604492
2000-09-01,5540,5600,5420,5540,4297.916992,49955000,4406.527832,4591.167578
2000-09-04,5440,5550,5310,5340,4142.756836,28625000,4228.094401,4437.559766
2000-09-05,5260,5340,5030,5150,3995.354248,79765000,4145.342692,4271.538916
2000-09-06,5200,5280,5090,5150,3995.354248,53120000,4044.488444,4134.99834
2000-09-07,4940,4980,4760,4790,3716.068848,83905000,3902.259115,4029.490234
2000-09-08,4900,4930,4790,4880,3785.889893,57170000,3832.437663,3927.084815
2000-09-11,4880,4880,4880,4880,3785.889893,0,3762.616211,3855.711426
2000-09-12,4880,4880,4880,4880,3785.889893,0,3785.889893,3813.818555
2000-09-13,4880,4880,4880,4880,3785.889893,0,3785.889893,3771.925684
2000-09-14,4600,4710,4440,4710,3654.004395,106130000,3741.92806,3759.512793
2000-09-15,4500,4620,4300,4350,3374.717529,82695000,3604.870606,3677.278321
2000-09-18,4010,4120,3700,3970,3079.914307,146305000,3369.54541,3536.083203
2000-09-19,3990,4370,3900,4160,3227.316406,100525000,3227.316081,3424.368506
2000-09-20,4600,4660,4460,4600,3568.66626,103410000,3291.965658,3380.923779
2000-09-21,4590,4660,4320,4400,3413.506836,65445000,3403.163167,3332.824268
2000-09-22,3840,4050,3780,3800,2948.029053,103265000,3310.067383,3247.486572
2000-09-25,3880,4110,3840,4090,3173.010254,65985000,3178.182048,3266.105762
2000-09-26,3900,4040,3900,4000,3103.188477,58430000,3074.742595,3241.280176
2000-09-27,4000,4100,3960,4030,3126.462402,69795000,3134.220378,3152.839404
2000-09-28,4100,4190,4030,4060,3149.735352,52470000,3126.462077,3100.085108
2000-09-29,4120,4120,3940,4040,3134.220215,57535000,3136.80599,3137.32334
2000-10-02,3840,3880,3760,3810,2955.787109,41120000,3079.914225,3093.878711
2000-10-03,3810,3810,3810,3810,2955.787109,0,3015.264811,3064.398437
2000-10-04,3700,3950,3590,3890,3017.851318,82635000,2976.475179,3042.676221
2000-10-05,4020,4080,3940,3940,3056.640869,62745000,3010.093099,3024.057324
2000-10-06,3800,3900,3760,3900,3025.609131,54935000,3033.367106,3002.335107
2000-10-09,3820,3840,3680,3690,2862.69165,63195000,2981.647217,2983.716015
2000-10-10,3700,3810,3590,3660,2839.418213,62145000,2909.239665,2960.442236
2000-10-11,3450,3460,3210,3220,2498.066895,103605000,2733.392253,2856.485352
2000-10-12,3140,3280,3140,3140,2436.003174,79535000,2591.162761,2732.357813
2000-10-13,3000,3090,2830,3030,2350.665283,115295000,2428.245117,2597.369043
2000-10-16,3030,3030,3030,3030,2350.665283,0,2379.111247,2494.96377
2000-10-17,2980,3080,2730,2740,2125.684082,65300000,2275.671549,2352.216943
2000-10-18,2540,2760,2420,2730,2117.926025,164215000,2198.091797,2276.188769
2000-10-19,2730,3050,2690,2900,2249.811523,137720000,2164.473877,2238.950439
2000-10-20,3240,3330,3190,3330,2583.404297,118825000,2317.047282,2285.498242
2000-10-23,3490,3520,3160,3200,2482.550781,139960000,2438.588867,2311.875342
2000-10-24,3180,3420,3100,3340,2591.162842,97115000,2552.37264,2404.971094
2000-10-25,3200,3260,3130,3210,2490.309326,68730000,2521.340983,2479.447754
2000-10-26,2930,3030,2740,2890,2242.053711,133290000,2441.175293,2477.896191
2000-10-27,2890,2890,2890,2890,2242.053711,0,2324.805583,2409.626074
2000-10-30,2800,2880,2720,2750,2133.442139,36830000,2205.849854,2339.804346
2000-10-31,2750,2850,2630,2850,2211.021729,63190000,2195.50586,2263.776123
2000-11-01,3000,3270,2960,3260,2529.098877,94165000,2291.187582,2271.534033
2000-11-02,3200,3430,3170,3320,2575.646484,123180000,2438.58903,2338.252588
2000-11-03,3420,3470,3370,3440,2668.740967,80420000,2591.162109,2423.590039
2000-11-06,3460,3670,3380,3510,2723.04834,71865000,2655.81193,2541.511279
2000-11-07,3460,3550,3380,3440,2668.740967,53740000,2686.843425,2633.055127
